year_month,observed_q_max_cms,observed_q_min_cms,simulated_q_max_cms,simulated_q_min_cms,q_max_perc_change,q_min_perc_change
1987_01,1067.543,65.129,469.6,91.3,-56.011139598123904,40.183328471187934
1987_02,1531.939,100.241,913.9,180.8,-40.3435776489795,80.36531957981266
1987_03,3454.65,260.515,1648,277.4,-52.296180510326664,6.481392626144365
1987_04,1959.523,101.091,1111,235.7,-43.302528217326355,133.15626514724357
1987_05,393.604,12.997,452.8,210.8,15.039481306084296,1521.9127490959454
1987_06,294.495,17.443,372.7,152.9,26.55562912782899,776.5693974660321
1987_07,277.505,27.75,329.4,81.91,18.70056395380263,195.17117117117115
1987_08,225.119,9.288,344.1,57.57,52.85249134901986,519.8320413436692
1987_09,591.821,10.251,753.9,73.62,27.386490171859386,618.1738366988587
1987_10,178.679,5.21,166.8,49.5,-6.6482351031738425,850.0959692898272
1987_11,453.069,5.72,404.9,47.52,-10.63171393319782,730.7692307692308
1987_12,597.484,34.263,269.8,102.3,-54.84397908563242,198.57280448296999
1988_01,727.742,188.59,542.7,134.3,-25.426868313220886,-28.78731640065751
1988_02,441.742,45.024,245.9,136.4,-44.334023027015775,202.94953802416492
1988_03,334.138,8.07,328.7,109.6,-1.6274712843196488,1258.1164807930606
1988_04,164.804,10.137,169.7,73.18,2.970801679570876,621.9098352569795
1988_05,180.378,8.976,137.9,52.29,-23.549435075230896,482.55347593582883
1988_06,148.663,9.09,86.9,28.47,-41.54564350241822,213.2013201320132
1988_07,145.265,10.222,79.63,23.53,-45.18294152066912,130.18978673449425
1988_08,322.812,11.723,475.3,31.99,47.237401335761994,172.8823679945406
1988_09,246.073,9.854,354,56.51,43.85974893629126,473.47270144103925
1988_10,334.138,9.628,287.9,32.82,-13.837995079877178,240.88076443705856
1988_11,376.613,26.306,382.8,36.05,1.6428004343981784,37.04097924427885
1988_12,270.709,10.675,154.3,18.37,-43.001525623455436,72.08430913348946
1989_01,286,10.732,120.7,30.17,-57.79720279720279,181.12187849422293
1989_02,1503.622,7.787,643.6,24.68,-57.196689061479546,216.93848722229356
