return_period_yr,obs_7_day_max_annual_q_cms,sim_7_day_max_annual_q_cms,perc_change
10,3416.973087958226,2096.171248267727,-38.65414815074617
100,4632.8749326738825,2872.2523616599437,-38.002808118063925
